ActivityId,ActivityLabel,ActivityType,Message,ActionDate,ElapsedMilliSeconds
start,"Start",system,action started,2022-11-28T17:18:54.880Z,0
start,"Start",system,action completed,2022-11-28T17:18:54.881Z,1
c0,"condition",system,action started,2022-11-28T17:18:54.884Z,3
c0,"condition",system,action completed,2022-11-28T17:18:54.886Z,2
a2,"List Files/Folders",system,action started,2022-11-28T17:18:54.891Z,5
a2,"List Files/Folders",input,##DATA##,2022-11-28T17:18:54.894Z,3
a2,"List Files/Folders",output,##DATA##,2022-11-28T17:18:55.997Z,1103
a2,"List Files/Folders",system,action completed,2022-11-28T17:18:55.997Z,0
c1,"condition",system,action started,2022-11-28T17:18:55.998Z,1
c1,"condition",system,action completed,2022-11-28T17:18:56.000Z,2
a3,"Query JSON",system,action started,2022-11-28T17:18:56.002Z,2
a3,"Query JSON",input,##DATA##,2022-11-28T17:18:56.004Z,2
a3,"Query JSON",system,action completed,2022-11-28T17:18:56.027Z,23
a3,"Query JSON",output,##DATA##,2022-11-28T17:18:56.027Z,0
c8,"condition",system,action started,2022-11-28T17:18:56.029Z,2
c8,"condition",system,action completed,2022-11-28T17:18:56.030Z,1
a7,"Logger",system,##DATA##,2022-11-28T17:18:56.039Z,9
t1,"null",output,##DATA##,2022-11-28T17:18:56.039Z,0
a7,"Logger",activity,##DATA##,2022-11-28T17:18:56.041Z,2
a7,"Logger",system,##DATA##,2022-11-28T17:18:56.043Z,2
c9,"condition",system,action started,2022-11-28T17:18:56.045Z,2
c9,"condition",system,action completed,2022-11-28T17:18:56.048Z,3
a6,"Download FIle",system,action started,2022-11-28T17:18:56.050Z,2
a6,"Download FIle",input,##DATA##,2022-11-28T17:18:56.052Z,2
a6,"Download FIle",output,##DATA##,2022-11-28T17:18:56.778Z,726
a6,"Download FIle",system,action completed,2022-11-28T17:18:56.778Z,0
c10,"condition",system,action started,2022-11-28T17:18:56.779Z,1
c10,"condition",system,action completed,2022-11-28T17:18:56.781Z,2
a8,"Read File",system,action started,2022-11-28T17:18:56.782Z,1
a8,"Read File",input,##DATA##,2022-11-28T17:18:56.784Z,2
a8,"Read File",system,action completed,2022-11-28T17:18:56.787Z,3
a8,"Read File",output,##DATA##,2022-11-28T17:18:56.788Z,1
c18,"condition",system,action started,2022-11-28T17:18:56.793Z,5
c18,"condition",system,action completed,2022-11-28T17:18:56.795Z,2
a11,"publish",system,action started,2022-11-28T17:18:56.796Z,1
a11,"publish",input,##DATA##,2022-11-28T17:18:56.799Z,3
a11,"publish",system,action completed,2022-11-28T17:18:57.040Z,241
a11,"publish",output,##DATA##,2022-11-28T17:18:57.041Z,1
c17,"condition",system,action started,2022-11-28T17:18:57.044Z,3
c17,"condition",system,action completed,2022-11-28T17:18:57.046Z,2
a10,"Return Data on Sync Webhook",system,action started,2022-11-28T17:18:57.048Z,2
a10,"Return Data on Sync Webhook",input,##DATA##,2022-11-28T17:18:57.050Z,2
a10,"Return Data on Sync Webhook",system,action completed,2022-11-28T17:18:57.052Z,2
a10,"Return Data on Sync Webhook",output,##DATA##,2022-11-28T17:18:57.052Z,0
c14,"condition",system,action started,2022-11-28T17:18:57.053Z,1
c14,"condition",system,action completed,2022-11-28T17:18:57.055Z,2
stop,"Stop",system,action started,2022-11-28T17:18:57.056Z,1
stop,"Stop",system,action completed,2022-11-28T17:18:57.057Z,1
bill,"bill",bill,##DATA##,2022-11-28T17:18:57.136Z,79

